Insertion_Index Worst_Case_Time(us) Best_Case_Time(us)
1136 1.773 0.065
1137 1.776 0.063
1138 1.774 0.067
1139 1.885 0.062
1140 3.27 0.082
1141 1.853 0.06
1142 1.781 0.071
1143 1.83 0.062
1144 3.234 0.075
1145 1.888 0.057
1146 3.462 0.063
1147 1.901 0.063
1148 1.883 0.06
1149 3.451 0.096
1150 1.95 0.062
1151 1.889 0.064
1152 3.295 0.063
1153 1.882 0.06
1154 3.39 0.076
1155 5.127 0.079
1156 3.41 0.062
1157 3.349 0.065
1158 3.279 0.057
1159 3.594 0.065
1160 3.569 0.07
1161 3.48 0.074
1162 3.997 0.07
1163 3.827 0.081
1164 3.776 0.081
1165 3.764 0.07
1166 3.483 0.064
1167 4.178 0.071
1168 3.84 0.064
1169 4.714 0.062
1170 3.937 0.069
1171 3.989 0.078
1172 4.119 0.072
1173 3.14 0.066
1174 1.844 0.061
1175 3.74 0.077
1176 3.483 0.086
1177 3.427 0.065
1178 3.584 0.068
1179 3.441 0.076
1180 3.639 0.078
1181 2.052 0.06
1182 3.628 0.085
1183 3.381 0.084
1184 3.5 0.085
1185 3.356 0.09
1186 3.416 0.08
1187 3.612 0.08
1188 3.343 0.084
1189 2.057 0.062
1190 3.752 0.074
1191 1.947 0.06
1192 1.856 0.061
1193 2.104 0.062
1194 3.516 0.09
1195 3.283 0.096
1196 3.483 0.078
1197 3.441 0.081
1198 3.365 0.078
1199 3.52 0.078
1200 3.422 0.076
1201 3.546 0.078
1202 3.381 0.082
1203 3.56 0.087
1204 3.481 0.085
1205 3.482 0.09
1206 3.445 0.087
1207 3.401 0.083
1208 3.475 0.082
1209 3.456 0.079
1210 3.43 0.076
1211 3.478 0.087
1212 3.543 0.112
1213 3.615 0.089
1214 3.459 0.062
1215 3.498 0.087
1216 3.598 0.082
1217 3.561 0.073
1218 3.864 0.062
1219 3.644 0.062
1220 3.434 0.064
1221 3.378 0.066
1222 3.349 0.071
1223 3.525 0.068
1224 3.823 0.066
1225 2.233 0.063
1226 3.638 0.081
1227 2.241 0.064
1228 2.467 0.07
1229 2.031 0.062
1230 2.191 0.068
1231 2.034 0.061
1232 2.209 0.076
1233 2.042 0.06
1234 2.046 0.062
1235 2.067 0.061
1236 2.028 0.064
1237 2.02 0.059
1238 2.059 0.06
1239 2.049 0.063
1240 2.035 0.063
1241 2.064 0.063
1242 2.027 0.064
1243 2.062 0.062
1244 2.071 0.063
1245 2.059 0.064
1246 2.055 0.066
1247 2.071 0.063
1248 2.056 0.06
1249 2.048 0.063
1250 2.063 0.063
1251 2.111 0.062
1252 2.073 0.065
1253 2.072 0.06
1254 2.067 0.064
1255 2.055 0.063
1256 2.062 0.063
1257 2.089 0.063
1258 2.106 0.063
1259 2.113 0.065
1260 2.081 0.066
1261 2.086 0.065
1262 2.087 0.063
1263 2.129 0.062
1264 2.101 0.062
1265 2.092 0.061
1266 3.486 0.074
1267 2.456 0.064
1268 2.067 0.061
1269 3.574 0.068
1270 2.079 0.06
1271 2.164 0.065
1272 3.6 0.068
1273 3.601 0.071
1274 2.505 0.06
1275 3.885 0.125
1276 3.731 0.083
1277 3.656 0.068
1278 2.532 0.064
1279 3.724 0.069
1280 2.278 0.063
1281 17.679 8.11
1282 37.284 0.144
1283 2.143 0.057
1284 2.194 0.148
1285 3.639 0.156
1286 4.34 0.06
1287 3.408 0.153
1288 2.872 0.144
1289 2.118 0.074
1290 2.228 0.074
1291 2.261 0.078
1292 2.227 0.085
1293 2.232 0.071
1294 2.257 0.074
1295 2.238 0.076
1296 2.256 0.074
1297 2.011 0.061
1298 2.02 0.063
1299 2.193 0.1
1300 2.115 0.06
1301 2.114 0.062
1302 2.069 0.064
1303 2.07 0.063
1304 2.187 0.061
1305 2.076 0.064
1306 2.094 0.067
1307 2.111 0.064
1308 2.097 0.064
1309 2.134 0.062
1310 2.128 0.062
1311 2.12 0.062
1312 2.137 0.063
1313 2.102 0.062
1314 2.149 0.067
1315 2.121 0.065
1316 2.132 0.065
1317 2.164 0.064
1318 2.132 0.067
1319 2.146 0.063
1320 2.163 0.066
1321 2.106 0.061
1322 2.145 0.062
1323 2.146 0.065
1324 2.145 0.063
1325 2.143 0.063
1326 2.152 0.062
1327 2.147 0.064
1328 2.178 0.064
1329 2.176 0.06
1330 2.195 0.065
1331 2.156 0.061
1332 2.147 0.068
1333 2.162 0.06
1334 2.148 0.064
1335 2.131 0.059
1336 2.167 0.065
1337 2.154 0.062
1338 2.17 0.062
1339 2.174 0.066
1340 2.156 0.064
1341 2.188 0.063
1342 3.733 0.065
1343 3.681 0.067
1344 2.079 0.062
1345 2.09 0.062
1346 2.221 0.062
1347 2.251 0.062
1348 3.62 0.067
1349 3.723 0.063
